"Temp","StirrVel","TimeExt","salt","Block","ConcEndosulfan","Dieldrin","","","","","","","","","",""
"20","500","5","5","1","0.035","0.0261","","","","","","","","","",""
"20","1000","5","5","1","0.019","0.0083","","","","","","","","","",""
"20","500","30","5","1","0.025","0.0083","","","","","","","","","",""
"20","1000","30","5","1","0.144","0.0142","","","","","","","","","",""
"20","500","5","20","1","0.060","0.0078","","","","","","","","","",""
"20","1000","5","20","1","0.034","0.0134","","","","","","","","","",""
"20","500","30","20","1","0.074","0.0249","","","","","","","","","",""
"20","1000","30","20","1","0.223","0.0675","","","","","","","","","",""
"20","750","17.5","12.5","1","0.159","0.084","","","","","","","","","",""
"35","500","17.5","12.5","1","0.043","0.0736","","","","","","","","","",""
"35","1000","17.5","12.5","1","0.163","0.0249","","","","","","","","","",""
"35","750","5","12.5","1","0.003","0.1069","","","","","","","","","",""
"35","750","30","12.5","1","0.215","0.0284","","","","","","","","","",""
"35","750","17.5","5","1","0.043","0.0015","","","","","","","","","",""
"35","750","17.5","20","1","0.127","0.0227","","","","","","","","","",""
"35","750","17.5","12.5","1","0.059","0.0194","","","","","","","","","",""
"35","750","17.5","12.5","1","0.135","0.0837","","","","","","","","","",""
"35","750","17.5","12.5","1","0.025","0.1193","","","","","","","","","",""
"50","500","5","5","1","0.051","0.0411","","","","","","","","","",""
"50","1000","5","5","1","0.064","0.2037","","","","","","","","","",""
"50","500","30","5","1","0.066","0.1144","","","","","","","","","",""
"50","1000","30","5","1","0.066","0.1181","","","","","","","","","",""
"50","500","5","20","1","0.061","0.0442","","","","","","","","","",""
"50","1000","5","20","1","0.034","0.243","","","","","","","","","",""
"50","500","30","20","1","0.095","0.0715","","","","","","","","","",""
"50","1000","30","20","1","0.034","0.0998","","","","","","","","","",""
"50","750","17.5","12.5","1","0.114","0.176","","","","","","","","","",""
"20","500","5","5","2","0.008","0.0289","","","","","","","","","",""
"20","1000","5","5","2","0.003","0.1011","","","","","","","","","",""
"20","500","30","5","2","0.204","0.0717","","","","","","","","","",""
"20","1000","30","5","2","0.173","0.0773","","","","","","","","","",""
"20","500","5","20","2","0.006","0.1878","","","","","","","","","",""
"20","1000","5","20","2","0.139","0.1587","","","","","","","","","",""
"20","500","30","20","2","0.516","0.0064","","","","","","","","","",""
"20","1000","30","20","2","0.042","0.0473","","","","","","","","","",""
"20","750","17.5","12.5","2","0.127","0.0066","","","","","","","","","",""
"35","500","17.5","12.5","2","0.341","0.0924","","","","","","","","","",""
"35","1000","17.5","12.5","2","0.405","0.1344","","","","","","","","","",""
"35","750","5","12.5","2","0.126","0.1224","","","","","","","","","",""
"35","750","30","12.5","2","0.226","0.0302","","","","","","","","","",""
"35","750","17.5","5","2","0.192","0.0857","","","","","","","","","",""
"35","750","17.5","20","2","0.606","0.3571","","","","","","","","","",""
"35","750","17.5","12.5","2","0.136","0.0612","","","","","","","","","",""
"35","750","17.5","12.5","2","0.561","0.2191","","","","","","","","","",""
"35","750","17.5","12.5","2","1.136","0.0699","","","","","","","","","",""
"50","500","5","5","2","0.267","0.034","","","","","","","","","",""
"50","1000","5","5","2","0.151","0.0877","","","","","","","","","",""
"50","500","30","5","2","0.068","0.1312","","","","","","","","","",""
"50","1000","30","5","2","0.063","0.0831","","","","","","","","","",""
"50","500","5","20","2","0.067","0.2536","","","","","","","","","",""
"50","1000","5","20","2","0.147","0.2536","","","","","","","","","",""
"50","500","30","20","2","0.128","0.0149","","","","","","","","","",""
"50","1000","30","20","2","0.217","0.4588","","","","","","","","","",""
"50","750","17.5","12.5","2","0.126","0.1979","","","","","","","","","",""
"20","500","5","5","3","0.008","0.0319","","","","","","","","","",""
"20","1000","5","5","3","0.025","0.1474","","","","","","","","","",""
"20","500","30","5","3","0.077","0.0205","","","","","","","","","",""
"20","1000","30","5","3","0.213","0.1078","","","","","","","","","",""
"20","500","5","20","3","0.029","0.0921","","","","","","","","","",""
"20","1000","5","20","3","0.252","0.0221","","","","","","","","","",""
"20","500","30","20","3","0.217","0.0416","","","","","","","","","",""
"20","1000","30","20","3","0.630","0.0973","","","","","","","","","",""
"20","750","17.5","12.5","3","0.241","0.1171","","","","","","","","","",""
"35","500","17.5","12.5","3","0.113","0.058","","","","","","","","","",""
"35","1000","17.5","12.5","3","0.412","0.0369","","","","","","","","","",""
"35","750","5","12.5","3","0.053","0.0163","","","","","","","","","",""
"35","750","30","12.5","3","0.192","0.0351","","","","","","","","","",""
"35","750","17.5","5","3","0.762","0.0827","","","","","","","","","",""
"35","750","17.5","20","3","0.139","0.02","","","","","","","","","",""
"35","750","17.5","12.5","3","0.276","0.0271","","","","","","","","","",""
"35","750","17.5","12.5","3","0.561","0.0889","","","","","","","","","",""
"35","750","17.5","12.5","3","0.434","0.1594","","","","","","","","","",""
"50","500","5","5","3","0.024","0.0577","","","","","","","","","",""
"50","1000","5","5","3","0.088","0.0926","","","","","","","","","",""
"50","500","30","5","3","0.184","0.1007","","","","","","","","","",""
"50","1000","30","5","3","0.014","0.0255","","","","","","","","","",""
"50","500","5","20","3","0.033","0.1206","","","","","","","","","",""
"50","1000","5","20","3","0.276","0.1253","","","","","","","","","",""
"50","500","30","20","3","0.152","0.0616","","","","","","","","","",""
"50","1000","30","20","3","0.203","0.0632","","","","","","","","","",""
"50","750","17.5","12.5","3","0.044","0.0391","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
