"Temp","StirrVel","TimeExt","salt","Block","ConcEndosulfan","Dieldrin","Aldrin","","","","","","","","",""
"20","500","5","5","1","0.035","0.0261","0.2314","","","","","","","","",""
"20","1000","5","5","1","0.019","0.0083","0.03","","","","","","","","",""
"20","500","30","5","1","0.025","0.0083","0.03","","","","","","","","",""
"20","1000","30","5","1","0.144","0.0142","0.0581","","","","","","","","",""
"20","500","5","20","1","0.060","0.0078","0.0078","","","","","","","","",""
"20","1000","5","20","1","0.034","0.0134","0.0649","","","","","","","","",""
"20","500","30","20","1","0.074","0.0249","0.0985","","","","","","","","",""
"20","1000","30","20","1","0.223","0.0675","0.2637","","","","","","","","",""
"20","750","17.5","12.5","1","0.159","0.084","0.1507","","","","","","","","",""
"35","500","17.5","12.5","1","0.043","0.0736","0.3357","","","","","","","","",""
"35","1000","17.5","12.5","1","0.163","0.0249","0.101","","","","","","","","",""
"35","750","5","12.5","1","0.003","0.1069","0.3257","","","","","","","","",""
"35","750","30","12.5","1","0.215","0.0284","0.6778","","","","","","","","",""
"35","750","17.5","5","1","0.043","0.0015","0.0405","","","","","","","","",""
"35","750","17.5","20","1","0.127","0.0227","0.018","","","","","","","","",""
"35","750","17.5","12.5","1","0.059","0.0194","0.2909","","","","","","","","",""
"35","750","17.5","12.5","1","0.135","0.0837","0.2926","","","","","","","","",""
"35","750","17.5","12.5","1","0.025","0.1193","0.2795","","","","","","","","",""
"50","500","5","5","1","0.051","0.0411","0.4276","","","","","","","","",""
"50","1000","5","5","1","0.064","0.2037","0.77","","","","","","","","",""
"50","500","30","5","1","0.066","0.1144","0.8124","","","","","","","","",""
"50","1000","30","5","1","0.066","0.1181","0.9912","","","","","","","","",""
"50","500","5","20","1","0.061","0.0442","0.0614","","","","","","","","",""
"50","1000","5","20","1","0.034","0.243","0.7836","","","","","","","","",""
"50","500","30","20","1","0.095","0.0715","0.3001","","","","","","","","",""
"50","1000","30","20","1","0.034","0.0998","0.2597","","","","","","","","",""
"50","750","17.5","12.5","1","0.114","0.176","0.4307","","","","","","","","",""
"20","500","5","5","2","0.008","0.0289","0.1067","","","","","","","","",""
"20","1000","5","5","2","0.003","0.1011","0.2912","","","","","","","","",""
"20","500","30","5","2","0.204","0.0717","0.3134","","","","","","","","",""
"20","1000","30","5","2","0.173","0.0773","0.3192","","","","","","","","",""
"20","500","5","20","2","0.006","0.1878","0.7433","","","","","","","","",""
"20","1000","5","20","2","0.139","0.1587","0.7161","","","","","","","","",""
"20","500","30","20","2","0.516","0.0064","0.0658","","","","","","","","",""
"20","1000","30","20","2","0.042","0.0473","0.3312","","","","","","","","",""
"20","750","17.5","12.5","2","0.127","0.0066","0.0638","","","","","","","","",""
"35","500","17.5","12.5","2","0.341","0.0924","0.3422","","","","","","","","",""
"35","1000","17.5","12.5","2","0.405","0.1344","0.4196","","","","","","","","",""
"35","750","5","12.5","2","0.126","0.1224","0.3447","","","","","","","","",""
"35","750","30","12.5","2","0.226","0.0302","0.2225","","","","","","","","",""
"35","750","17.5","5","2","0.192","0.0857","0.2967","","","","","","","","",""
"35","750","17.5","20","2","0.606","0.3571","1.5298","","","","","","","","",""
"35","750","17.5","12.5","2","0.136","0.0612","0.3503","","","","","","","","",""
"35","750","17.5","12.5","2","0.561","0.2191","0.7969","","","","","","","","",""
"35","750","17.5","12.5","2","1.136","0.0699","0.2659","","","","","","","","",""
"50","500","5","5","2","0.267","0.034","0.2762","","","","","","","","",""
"50","1000","5","5","2","0.151","0.0877","0.3344","","","","","","","","",""
"50","500","30","5","2","0.068","0.1312","0.6914","","","","","","","","",""
"50","1000","30","5","2","0.063","0.0831","0.5074","","","","","","","","",""
"50","500","5","20","2","0.067","0.2536","0.7473","","","","","","","","",""
"50","1000","5","20","2","0.147","0.2536","0.7473","","","","","","","","",""
"50","500","30","20","2","0.128","0.0149","0.2534","","","","","","","","",""
"50","1000","30","20","2","0.217","0.4588","1.721","","","","","","","","",""
"50","750","17.5","12.5","2","0.126","0.1979","0.7465","","","","","","","","",""
"20","500","5","5","3","0.008","0.0319","0.1071","","","","","","","","",""
"20","1000","5","5","3","0.025","0.1474","0.7044","","","","","","","","",""
"20","500","30","5","3","0.077","0.0205","0.2021","","","","","","","","",""
"20","1000","30","5","3","0.213","0.1078","0.2314","","","","","","","","",""
"20","500","5","20","3","0.029","0.0921","0.4311","","","","","","","","",""
"20","1000","5","20","3","0.252","0.0221","0.2868","","","","","","","","",""
"20","500","30","20","3","0.217","0.0416","0.1561","","","","","","","","",""
"20","1000","30","20","3","0.630","0.0973","0.2347","","","","","","","","",""
"20","750","17.5","12.5","3","0.241","0.1171","0.5448","","","","","","","","",""
"35","500","17.5","12.5","3","0.113","0.058","0.1811","","","","","","","","",""
"35","1000","17.5","12.5","3","0.412","0.0369","0.213","","","","","","","","",""
"35","750","5","12.5","3","0.053","0.0163","0.0585","","","","","","","","",""
"35","750","30","12.5","3","0.192","0.0351","0.2954","","","","","","","","",""
"35","750","17.5","5","3","0.762","0.0827","0.8251","","","","","","","","",""
"35","750","17.5","20","3","0.139","0.02","0.0947","","","","","","","","",""
"35","750","17.5","12.5","3","0.276","0.0271","0.2515","","","","","","","","",""
"35","750","17.5","12.5","3","0.561","0.0889","0.4194","","","","","","","","",""
"35","750","17.5","12.5","3","0.434","0.1594","0.4612","","","","","","","","",""
"50","500","5","5","3","0.024","0.0577","0.221","","","","","","","","",""
"50","1000","5","5","3","0.088","0.0926","0.3949","","","","","","","","",""
"50","500","30","5","3","0.184","0.1007","0.5288","","","","","","","","",""
"50","1000","30","5","3","0.014","0.0255","0.0979","","","","","","","","",""
"50","500","5","20","3","0.033","0.1206","0.4481","","","","","","","","",""
"50","1000","5","20","3","0.276","0.1253","0.7035","","","","","","","","",""
"50","500","30","20","3","0.152","0.0616","0.4058","","","","","","","","",""
"50","1000","30","20","3","0.203","0.0632","0.6398","","","","","","","","",""
"50","750","17.5","12.5","3","0.044","0.0391","0.2114","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
