"","Temperatura","Velocidad.de.agitación","Tiempo.de.extracción","sal","Endosulfan","Carbaril.","Monocrotofos","Carbofuran","Lindano","Aldrin","Metil.paration.","Dieldrin","DDD","DDT","Endrin"
"71",50,1000,5,20,0.1474,0.0254,0.2106,0.0557,0.1335,0.4194,0.2725,0.0889,0.2351,0.1089,0.0238
"72",50,1000,5,20,0.2764,0.0718,0.4951,0.1352,0.5189,0.4612,0.3011,0.1594,0.4141,0.2053,0.2711
"73",50,500,30,20,0.0953,0.0163,0.2187,0.1948,0.4582,0.221,0.1243,0.0577,0.08,0.0237,0.0187
"74",50,500,30,20,0.1276,0.1802,0.1537,0.081,0.4747,0.3949,0.1048,0.0926,0.2026,0.0997,0.0295
"75",50,500,30,20,0.1518,0.0863,0.1777,0.084,0.2724,0.5288,0.1691,0.1007,0.2112,0.1036,0.0422
"76",50,1000,30,20,0.0344,0.0109,0.075,0.0666,0.1972,0.0979,0.0623,0.0255,0.0481,0.0123,0.014
"77",50,1000,30,20,0.2166,0.0845,0.2468,0.1406,0.5091,0.4481,0.1571,0.1206,0.2764,0.1443,0.032
"78",50,1000,30,20,0.2026,0.0037,0.2724,0.1547,0.5877,0.7035,0.1746,0.1253,0.2775,0.1071,0.0471
"79",50,750,17.5,12.5,0.1138,0.0116,0.2179,0.2431,0.6624,0.4058,0.2162,0.0616,0.1249,0.0387,0.0254
"80",50,750,17.5,12.5,0.1264,0.0143,0.1896,0.0761,0.2903,0.6398,0.1096,0.0632,0.1506,0.0541,0.0268
"81",50,750,17.5,12.5,0.0445,0.5023,0.0863,0.0493,0.3467,0.2114,0.0958,0.0391,0.0431,0.0081,0.0259
